Product,Safeway Deal,Price
strawberries gift box,,$14 member price
debi lilly design™ unforgettable arrangement,,$69.99
debi lilly design™ unforgettable arrangement,,$69.99
usda choice beef new york strip steak,,$7.99 lb member price
strawberries 2-lb. blueberries 18-oz.,,$4.99 ea member price
debi lilly design™ dozen roses,,$24.99
josh cabernet,,$13.49 ea member price
usda choice beef new york strip steak,,$7.99 lb member price
signature select® boneless pork top loin chops,,$3.99 lb member price
florida's natural orange or grapefruit juice 52-oz. cold foam creamer 14-oz. coffee mate creamer 32-oz. silk almond milk 64-oz.,,$2.99 ea member price when you buy 2
dave's killer thin-sliced bread 20.5-oz. bagels or english muffins 13.2 to 16.75-oz.,,$4.99 member price
general mills cereal 8.9 to 12.3-oz. nature valley or fiber one bars 5 to 6-ct. betty crocker fruit flavored snacks 6 to 10-ct.,,$2.49 ea member price when you buy 3
"sierra nevada, twisted tea, lagunitas or blue moon",,$15.99 member price
breyers ice cream 1.5-qt. talenti gelato or layers pint.,,$3.49 ea member price when you buy 2
"lays, fritos or popcorners",2 get 2 free member price when you buy 4,$5.89 ea
all rosé wines,up to 20% off* when you buy 6 or more bottles,
gloria ferrer blanc de noir rosé,,$12.99 ea when you buy 6 or more member price
save up to 20% weekly with foru**,save up to 20% weekly with foru**,
bananas,,$0.47 lb member price
cuties mandarins,,$4.97 ea member price
fresh atlantic salmon whole fillet,,$7.97 lb member price
pepsi or 7up,2 get 2 free when you buy 4 member price,
pepperidge farm goldfish crackers 4 to 8-oz. kettle potato chips 5 to 8.5-oz. late july snacks tortilla chips 11-oz.,,$1.97 ea member price
lucerne® shredded or chunk cheese,,$5.97 ea member price
price locked,,
floral,,
debi lilly design™ valentine bear bundle™,,$49.99 member price
debi lilly design™ fragrant rose bouquet,,$29.99
debi lilly design™ rose chic bouquet,,$39.99
te quiero mucho bouquet,,$16.99
sweet valentine bouquet,,$14.99
debi lilly design™ romance supreme bouquet™,,$29.99
sumo citrus,earn 2x points,$6.99 ea
debi lilly design™ heart orchid,,$29.99
hand-dipped belgian chocolate covered strawberries,,starting at $6.99 ea
lindt valentine's heart box,,$6.49 member price
signature select® hummus,earn 2x points,$3.99 ea member price
gérard bertrand coté des roses or angels & cowboys rosé,,$10.99 ea when you buy 6 or more member price
la marca prosecco rosé or gruet brut rosé,,$12.99 ea when you buy 6 or more member price
dove promise hearts,,$5.99 member price
fresh baked pudding ring,earn 2x points,$4.99 member price
"american greetings, lindt, ferrero, and russel stover",save $5 off flowers when you buy any 2 participating items* from american greetings,"lindt, ferrero, and russel stover,"
yasso novelties,earn 2x points,$4.99 member price
colossal cake slice,,$4.49 member price
fresh fruit tart,,$11.99
klondike ice cream bars 4 to 6-ct. magnum ice cream bars 3-ct. good humor ice cream bars 6-ct.,earn 2x points,$4.99
cheesecake factory bread or rolls,,$3.99 member price
decorated cupcakes,,$18.99 member price
puffs facial tissue,earn 2x points,$11.99 member price
