Feb 19th - Feb 25th
"Green or Red Seedless Grapes, , $1.88 lb member price"
"Signature Farms® Chicken Split Breasts, Drumsticks or Thighs, BUY 1 GET 1 FREE Member Price When you Buy 2, "
"Signature Farms® 80% Lean Ground Beef Mega Pack 6-lbs. or more. Signature SELECT® Extra Meaty Pork Loin Back Ribs, , $3.99 lb member price"
"Taylor Farms Chopped Salad Kit 9.25 to 13.5-oz. Fresh Express Salad Kit 6.7 to 11.9-oz., , $3.99 ea member price when you buy 3"
"Wente Riva Ranch Chardonnay, , $14.99 ea member price"
"Signature Farms® Chicken Split Breasts, Drumsticks or Thighs, BUY 1 GET 1 FREE Member Price When you Buy 2, "
"Signature Farms® Chicken Split Breasts, Drumsticks or Thighs, BUY 1 GET 1 FREE Member Price When you Buy 2, "
"Oscar Mayer Deli Fresh or Carving Board Lunchmeat, , $3.99 ea member price"
"Progresso Soup, BUY 2 GET 3 FREE EQUAL OR LESSER VALUE Member Price When you Buy 5, "
"Oroweat Variety Bread, BUY 1 GET 1 FREE Member Price When you Buy 2, "
"Coors or Budweiser 30-pack, 12-oz. Modelo, Corona or Pacifico 18-pack, 12-oz., , $21.99 member price"
"Coca-Cola 12-pack, 12-oz. cans or 8-pack, 12-oz. bottles. Topo Chico Sabores 8-pack, 12-oz. Dasani Water 24-pack, 16.9-oz., BUY 2 GET 2 FREE Member Price When you Buy 4, "
"Doritos Tortilla Chips 6 to 10.75-oz. Miss Vickie's Chips 8-oz. Ruffles Potato Chips 8.5 to 9-oz., , $2.49 ea member price when you buy 3"
"Dreyer's Ice Cream 1.5-qt. Nestlé Outshine Fruit Bars 4 to 6-ct. Signature SELECT® Ice Cream Bars or Sandwiches 6-ct., , $3.49 ea member price when you buy 2"
"Save up to 20% weekly with forU, Save up to 20% weekly with forU, "
"Strawberries, Save up to 20% weekly with forU**, $2.47 ea member price"
"USDA Choice Boneless Beef Tri Tip Roast, Save up to 20% weekly with forU**, $4.97 lb member price"
"Waterfront Bistro® Large Raw Shrimp, Save up to 20% weekly with forU, $3.97 lb member price"
"Lucerne® Milk or Open Nature® Almond Beverage, Save up to 20% weekly with forU**, $1.97 ea member price"
"Tillamook Shredded, Sliced, Chunk, Cream Cheese Spread or Cracker Cuts Cheese, , $2.47 ea member price"
"Nabisco Snack Crackers 3.5 to 9.1-oz. Pringles Mingles 5.5-oz., Save up to 20% weekly with for U**, $2.47 ea member price"
"Gas Rewards, , "
"STOCK UP SALE, , "
"Oscar Mayer Bacon, , $5.99 ea member price when you buy 2"
"General Mills Family Size Cereal 18 to 24-oz., Nature Valley or Fiber One Bars 10 to 12-ct., Betty Crocker or Mott's Fruit Snacks 12 to 22-ct., , $3.49 ea member price when you buy 2"
"Sara Lee Bagels or Oroweat English Muffins, , $4.49 member price"
"Starbucks Coffee, EARN 4X POINTS, $7.99 ea member price when you buy 2"
"Signature SELECT® Cranberry Juice Cocktail, EARN 4X POINTS, $2.49 member price"
"Health-Ade Kombucha, EARN 4X POINTS, 2 for $6.00 member price"
"Oatly Oat Milk, EARN 4X POINTS, $4.99 member price"
"El Monterey Breakfast Burrito, , 3 for $5 member price"
"Kellogg's Eggo Pancakes 12.7 to 14.8-02. French Toast 12.7-oz. Eggo Thick & Fluffy Waffles 11.6-oz., , $3.99 member price"
"Signature SELECT® Soup, EARN 4x POINTS, $5.99 ea member price"
"Primo Taglio® Turkey Breast or Provolone Cheese, , $8.99 lb member price"
"Signature SELECT® Whole Roasted Chicken, , Starting at $8.99 ea"
"Nabisco Tray Packs or Tate's Tiny Cookies, EARN 4X POINTS, $5.99 ea member price when you buy 2"
"Deli Snacker, , $6 ea"
"Greens & Grains Salad, , $5.99 ea member price"
"Soleil® Sparkling Water, EARN 4X POINTS, 2 for $5 member price"
"Half Fresh Baked Pie, , $6.99 member price"
"Fresh Baked Muffins, , $4 ea member price when you buy 3"
"Jumbo Cookies, , $6.99"
"La Brea Bread, , Starting at $4.49 member price"
"Mission Corn Tortillas, EARN 4X POINTS, $2.99 member price"
"Cottonelle Bath Tissue 12-Mega Rolls. Scott Paper Towels 12-Double Rolls., EARN 4X POINTS, $12.99 member price"
"Tulips, , $8.99 member price"
"Assorted Garden Bulbs, , $8.99"
"Signature SELECT® Hybrid Lilies, , $6.99 member price"
"Sunny Daze Crazy Daisy Bouquet, , $12.99"
"Kleenex Facial Tissue, EARN 4x POINTS, $7.99 member price"
