2025-03-05 - 2025-03-11
"Strawberries 1-lb. Blueberries, Raspberries or Blackberries 6-oz., BUY 1 GET 1 FREE Member Price When you Buy 2, "
"USDA Choice Boneless Beef Top Sirloin Steak, , $5.99 lb member price"
"Fresh Atlantic Salmon Portion, , $5.99 ea member price"
"Fresh Express Salad Kit 6.7 to 11.9-oz. Selected varieties. Taylor Farms Chopped Salad Kit 9.25 to 13.5-oz., , $3.99 ea member price when you buy 3"
"Ménage à Trois Red, , $8.99 ea member price"
"USDA Choice Boneless Beef Top Sirloin Steak, , $5.99 lb member price"
"Signature Farms® 80% Lean Ground Beef, , $3.99 lb member price"
"Yoplait Yogurt or Protein Yogurt, , $0.39 ea member price when you buy 10"
"Artesano Bread 20-oz. Rustik Sourdough Bread 16-oz., , $4.99 member price"
"Coors 18-pack, 12-oz. Sierra Nevada, Lagunitas, Firestone Walker or Heineken 12-pack, 12-oz., , $15.99 member price"
"Doritos, Ruffles, Fritos or SunChips, BUY 2 GET 2 FREE Member Price When you Buy 4, $6.29 ea."
"Dreyer's Ice Cream 1.5-qt. Nabisco Family Size Oreo or Chips Ahoy! Cookies 9.31 to 19.5-oz., EARN 4X POINTS, $3.49 ea member price when you buy 2"
"Barilla Pasta or Signature SELECT® Tomatoes, EARN 4x POINTS, 4 for $5 member price"
"Save up to 20% weekly with forU**, Save up to 20% weekly with forU**, "
"Green or Red Seedless Grapes, Save up to 20% weekly with for u**, $1.47 lb member price"
"Waterfront Bistro® Extra Jumbo Raw Shrimp, , $3.97 lb member price"
"Signature SELECT® Thick Cut Bacon, , $4.97 lb member price"
"Coca-Cola 12-pack, 12-oz. cans or 8-pack, 12-oz. bottles. 7UP 12-pack, 12-oz. cans. 8-pack, 12-oz. or 6-pack, 16.9-oz. bottles. Topo Chico Sabores 8-pack, 12-oz., BUY 2 GET 2 FREE Member Price, "
"Lay's Potato Chips or Poppables 5 to 8-oz. Calidad Tortilla Chips 10 to 11-oz. Sargento Shredded or Sliced Cheese 5 to 8-oz., EARN 4X POINTS, $1.97 ea member price"
"Challenge or Danish Creamery Butter, , $3.97 ea member price"
"Best Buddies, , "
"STOCK UP SALE, EARN 4X POINTS*, "
"Fresh Atlantic Salmon Whole Fillet, , $9.99 lb member price"
"Fresh Whole Tilapia, , $5.99 lb member price"
"Waterfront Bistro® Jumbo Cooked Shrimp, , $7.99 lb member price"
"Waterfront Bistro® Salmon Fillets, , $5.00 ea member price"
"SeaPak Selections 7.5 to 16-oz. Gorton's Seafood Selections 9 to 24.5-oz., BUY 1 GET 1 FREE When you Buy 2 Members Price, "
"Nabisco Family Size Snack Crackers 11.5 to 14-oz. Ritz Crackers 17.8 to 20.5-oz., , $2.99 ea member price"
"Chicken of the Sea Chunk Light Tuna, , $0.89 ea member price"
"Mahatma Long Grain Rice, , $11.99 member price"
"Fresh Baked Sourdough Round or Baguette Bread, , Starting at $2.49"
"Sparkling Ice, EARN 4X POINTS, 5 for $5 member price"
"Fish Fillet with American cheese, , $5 ea"
"Primo Taglio® Ham off the Bone, , $9.99 lb member price"
"Ready to Heat Entrée Meal, , Starting at $8.99 ea"
