2025-03-12 - 2025-03-18
"Hass Avocado or Mango, , 4 for $5 member price"
"Signature SELECT® Corned Beef Round Tip, , $1.77 lb member price"
"Signature Farms® 90% Lean Ground Beef, BUY 1 GET 1 FREE Member Price When you Buy 2, "
"Strawberries 2-lb., Blueberries 18-oz., BUY 1 GET 1 FREE Member Price When you Buy 2, "
"Irish Soda Bread, , $3.99 ea member price"
"Signature SELECT® Corned Beef Round Tip, , $1.77 lb member price"
"Signature SELECT® Corned Beef Round Tip, , $1.77 lb member price"
"Signature SELECT® Assorted Pork Loin Chops Bone-In. Value Pack. Jennie-O 93% Lean Ground Turkey or Patties 16-oz., , $3.99 lb member price"
"Signature SELECT® Red Potatoes, , $2.99 ea member price"
"Signature SELECT® Peeled Baby Carrots, , $1.99 ea member price"
"Guinness, , $11.99 member price"
"Jameson, , $14.99 ea when you buy 6 or more Member Price"
"Peet's Coffee or Espresso 10 to 10.5 - oz. Bag or 10 - ct. K - Cups or Capsules, Earn 4X POINTS, $7.99 member price"
"Oroweat Rye Bread 16-oz. Sara Lee Bagels or Oroweat English Muffins 12.5 to 16.7-oz., , $4.99 member price"
"Coors, Bud or Miller 30-pack, 12-oz. Modelo or Corona 18-pack, 12-oz. Michelob 24-pack, 12-oz., , $21.99 member price"
"General Mills Cereal 8.9 to 12.3-oz. Nature Valley or Fiber One Bars 5 to 6-ct. Betty Crocker Fruit Flavored Snacks 6 to 10-ct., Earn 4x POINTS, $1.99 ea member price when you buy 3"
"Lay's Potato Chips or Poppables 5 to 8-oz. Smartfood Popcorn 5 to 10-oz. Tostitos Tortilla Chips 9 to 13-oz., , $2.49 ea member price when you buy 3"
"Tillamook Ice Cream 1.5-qt. Sandwiches 4-ct. Talenti Gelato Pint, , $3.99 ea member price when you buy 2"
"Save up to 20% weekly with forU**, , "
"Green Cabbage, Save up to 20% weekly with for u**, $0.27 lb member price"
"USDA Choice Boneless Beef Chuck Steak Value Pack or Roast Mega Pack, Save up to 20% weekly with forU**, $4.97 lb member price"
"Fresh Atlantic Salmon Whole Fillet, Waterfront Bistro® Colossal Raw Shrimp 13 to 15-ct, Save up to 20% weekly with for U**, $6.97 lb member price"
"Lucerne® Shredded or Chunk Cheese, EARN 4x POINTS, Save up to 20% weekly with foru**, $5.97 ea member price"
"Pepsi 12-pack, 12-oz. cans. 8-pack, 12-oz. or 6-pack, 16.9-oz. bottles. Aquafina Water 24-pack, 16.9-oz. Bubly Sparkling Water 8-pack, 12-oz., BUY 2 GET 2 FREE When you Buy 4 Member Price, Save up to 20& weekly with forU**, "
"Chips Ahoy! Cookies 9.5 to 13-oz. Ritz 8 13 7-oz. or 8-ct. Nabisco Snack Crackers, Earn 4X POINTS, Save up to 20% weekly with for u**, $1.97 ea member price"
"STOCK UP SALE, EARN 4X POINTS forU, "
"Pepsi 2-ltr. Rockstar Energy Drink 16-oz. Gatorade 28-oz. Pure Leaf Tea 18.5-oz. Propel Beverage 20 to 24-oz., , $1.29 ea member price when you buy 5"
"Snyder's Pretzels 10 to 16-oz. Cape Cod Potato Chips 7 to 8-oz., , $3.49 ea member price when you buy 2"
"San Pellegrino Soda, EARN 4x POINTS, 2 for $10 member price"
"Nabisco Family Size Oreo Cookies, EARN 4x POINTS, $3.99 ea member price when you buy 2"
"Nestlé Drumstick Variety Pack, EARN 4X POINTS, $5.99 member price"
"DiGiorno Rising Crust or Hand Tossed Pizza, EARN 4x POINTS, $4.99 ea member price"
"Restaurant Style French Fries or Rings, EARN 4x POINTS, 2 for $9 member price"
"Modelo or Corona, , $17.99 member price"
"High Noon 8-pack, 355-ml. cans. Seagram's 7 1.75-ltr. Tullamore Dew 750-ml., , $18.99 member price"
"Stouffer's or Lean Cuisine Entrée, EARN 4x POINTS, $2.49 ea member price"
"Fresh Hot Chicken Wings, , $7.99 lb member price"
"Boar's Head Top Round Corned Beef, , $14.99 lb member price"
"Signature Cafe® Classic Coleslaw, , $4.99 lb"
"Boar's Head Gold Label Switzerland Swiss Cheese, , $11.99 lb member price"
"Dannon Oikos Triple Zero or Greek Yogurt, EARN 4x POINTS, $2.99 ea member price"
"Fresh Baked Cookies, , $3.99 member price"
"Sweet Paradise Scones, , $6.99 member price"
"Lucerne® Butter Quarters, Earn 4X POINTS, $3.99 ea member price"
"Cheesecake Factory Baguettes or Rolls, , $3.99 member price"
"Decorated Cupcakes, , $19.99 member price"
"Nestlé Outshine Fruit Bars 4 to 6-ct. Frollies Bars 6-ct, Earn 4X POINTS, 2 for $7 member price"
"Signature SELECT® Daffodils, , $2.99"
"Saint Patrick's Day Bouquet, , $9.99"
"Tide Laundry Detergent 84-oz. Liquid or 25 to 42-ct. Pods. Downy Fabric Softener 18.2-oz. Beads, 48-oz. Rinse or 140-oz. Liquid. Bounce Sheets 180-ct., EARN 4X POINTS, $9.99 ea member price"
"Signature SELECT® Poms, , $5.99 member price"
"Simply Because Rose Bouquet, , $8.99 member price"
"Charmin Bath Tissue, EARN 4x POINTS, $14.99 ea member price"
"Proper No. Twelve 750-ml. Pabst 30-pack, 12-oz. Sierra Nevada Little Thing, Bear Republic, Angry Orchard, Trumer Pils or Modelo Spiked Agua Fresca 12-pack, 12-oz., , $19.99 member price"
"La Vieille Ferme Rosé or Robert Mondavi Private Selection, , $7.99"
"Golden State 4-pack, 16-oz. Blue Moon or HenHouse 6-pack, 12-oz., , $12.99 member price"
"GUINNESS, HARP OR SMITHWICK'S PRODUCT AND CORNED BEEF, SAVE $5 ON ONE (1) 4-PACK OR LARGER OF ANY GUINNESS, HARP OR SMITHWICK'S PRODUCT AND CORNED BEEF*, "
"Safeway for u, , "
"Signature SELECT® Unsalted Walnut Halves & Pieces, , $5 ea member price"
"Sabra Hummus 17-oz. Pretzel Crisps 14-oz., , $6.99 ea member price"
"Hostess Multi-Pack, , $3.99 ea member price"
"Sun-Maid Raisin Bread, , $4.99 ea member price"
"Oscar Mayer Deli Fresh 7 to 9-oz. Carving Board Lunchmeat 7.5-oz., , $4.99 ea member price"
"Oscar Mayer Bacon, , $5.99 ea member price"
"Foster Farms Frozen Chicken Selections, , $7.99 ea member price"
"Open Nature® Fin Fish, , $9.99 ea member price"
"Chobani Flip, Creations or Protein Greek Yogurt, Earn 4x POINTS, $0.99 ea member price"
"Yakult Probiotic Drink, , $2.99 ea member price"
"Califia Farms Almondmilk or Oatmilk, Earn 4X POINTS, $2.99 ea member price"
"Lucerne® Flavored Creamer, EARN 4x POINTS, $2.99 ea member price"
"Simply Orange Juice, , $3.49 ea member price"
"Philadelphia Cream Cheese, Earn 4X POINTS, $2.49 ea member price"
"Breyers Ice Cream, , $3.99 ea member price"
"Stouffer's Large Size Entrée, , $3.99 ea member price"
"Freschetta Pizza, , $4.99 ea member price"
"Pepperidge Farm Milano, Sweet & Simple or Chunk Cookies to., , $2.99 ea member price"
"Frito-Lay Variety Pack, , $8.99 ea member price"
"Culture Pop Soda or Celsius Sparkling Energy, , $1.79 ea member price"
"Signature SELECT® refreshe® Purified Drinking Water, , $2.99 ea member price"
"AriZona Tea, , $3.59 ea member price"
"Signature SELECT® or O Organics® Coffee, , $19.99 ea member price"
"Open Nature® Granola, , $2.99 ea member price"
"Betty Crocker Cake Mix 13.25 to 14-oz. Frosting 12 to 16-oz., , $1.99 ea member price"
"Rao's Pasta Sauce, , $5.99 ea member price"
"Guerrero Zero Net Tortillas, , $2.99 ea member price"
"M&M's Stand Up Pouch, EARN 4X POINTS, $9.99 ea member price"
"Angel Soft Bath Tissue 12-Mega Rolls. Sparkle Paper Towels 6-Double Rolls., , $8.99 ea member price"
"Seventh Generation Liquid Laundry Detergent 87.50 to 90-oz. Easy Dose 23.1-oz., , $9.99 ea member price"
"Pacifico or or Stella Artois 12-pack, 11.2 to 12-oz. Coors 18-pack, 12-oz., , $15.99 ea member price"
"Baileys, , $18.99 ea member price"
"Signature SELECT® Corned Beef Brisket, , $4.99 lb member price"
"Colorado Premium Corned Beef Round, , $6.99 lb member price"
"Colorado Premium Corned Beef Brisket, , $6.49 lb member price"
"Signature SELECT® Gourmet Beef Burger Patties, , $8.99 ea member price"
"Signature SELECT® St. Louis Style Pork Ribs, , $3.99 lb member price"
"Foster Farms Chicken Party Wings, Boneless Skinless Breast Fillets, Thighs or Tenders, , $10.99 ea member price"
"Fresh Ling Cod Fillet, , $10.99 lb member price"
"Large Cooked Shrimp, , $9.99 lb member price"
"Fresh Tilapia Fillet, , $7.99 lb member price"
"Imitation Crab Meat, , $3.99 lb member price"
"Green Asparagus, , $3.99 lb member price"
"Signature SELECT® or Bonduelle Salad Bowl, , $2.99 ea member price when you buy 3"
"SugarBee Apples, , $2.99 lb member price"
"Sumo Citrus, , $4.99 lb"
"Cucumber or Green Bell Pepper, , 4 for $5 member price"
"Green or Red Seedless Grapes, , $3.99 lb member price"
"Garlic or Shallot, , $0.59 ea member price"
"Irish Stew Mix, , $5.99 ea"
"DIPS OR SALSAS, BUY 2,SAVE $2, "
"8-Piece Fried or Roasted Chicken 4-each: Drumsticks and Thighs. Signature Cafe® Pizza 8.7 to 21.3-oz., JoJo Potato Wedges, , $5 member price"
"USDA Choice Boneless Beef Top Sirloin Steak, , $5 lb member price"
"Lobster Tail 3-oz. Fresh Atlantic Salmon Portion 7-oz., , $5 ea member price"
"Fuji Apples, , $5 member price"
"Wild Alaskan Pollock, , $5 ea member price"
"Foster Farms Breaded Chicken Nuggets or Patties 28 to 33.6-oz. New York Style Sausage or Breakfast Sausage 16-oz. Selected varieties. Land O'Frost Sliced Lunchmeat 16-oz., , $5 ea member price"
"Fresh Baked Cinnamon Rolls, , $5 ea member price"
